O1001,Tech1,1,5.0
O1002,Tech2,1,5.0
O1003,Tech3,1,5.0
O1004,Tech4,1,5.0
O1005,Tech5,1,5.0
O1006,Tech6,1,5.0
O1007,Tech7,1,5.0
O1008,Tech8,1,5.0
O1009,Tech9,1,5.0
O1010,Tech10,1,5.0
O1011,Tech11,1,5.0
O1012,Tech12,1,5.0
O1013,Tech13,1,5.0
O1014,Tech14,1,5.0
O1015,Tech15,1,5.0
O1016,Tech16,1,5.0
O1017,Tech17,1,5.0
O1018,Tech18,1,5.0
O1019,Tech19,1,5.0
O102,Tech14,1,10.0
O1020,Tech20,1,5.0
O103,Tech18,1,8.0
O106,Tech8,1,8.0
O113,Tech2,1,10.0
O116,Tech10,1,30.0
O122,Tech17,1,10.0
O128,Tech3,1,15.0
O134,Tech20,1,12.0
O135,Tech7,1,15.0
O138,Tech17,1,22.0
O139,Tech4,1,90.0
O141,Tech2,1,10.0
O145,Tech20,1,8.0
O146,Tech2,1,12.0
O147,Tech13,1,22.0
O150,Tech2,1,15.0
O151,Tech15,1,12.0
O153,Tech18,1,11.0
O154,Tech11,1,11.0
O155,Tech20,1,20.0
O156,Tech17,1,11.0
O157,Tech7,1,11.0
O159,Tech1,1,10.0
O162,Tech6,1,12.0
O168,Tech10,1,15.0
O171,Tech15,1,12.0
O173,Tech11,1,45.0
O178,Tech17,1,20.0
O179,Tech18,1,20.0
O18,Tech20,1,12.0
O185,Tech17,1,10.0
O186,Tech16,1,10.0
O191,Tech6,1,20.0
O2001,Tech1,1,5.0
O2002,Tech2,1,5.0
O2003,Tech3,1,5.0
O2004,Tech4,1,5.0
O2005,Tech5,1,5.0
O2006,Tech6,1,5.0
O2007,Tech7,1,5.0
O2008,Tech8,1,5.0
O2009,Tech9,1,5.0
O2010,Tech10,1,5.0
O2011,Tech11,1,5.0
O2012,Tech12,1,5.0
O2013,Tech13,1,5.0
O2014,Tech14,1,5.0
O2015,Tech15,1,5.0
O2016,Tech16,1,5.0
O2017,Tech17,1,5.0
O2018,Tech18,1,5.0
O2019,Tech19,1,5.0
O2020,Tech20,1,5.0
O203,Tech8,1,12.0
O206,Tech6,1,30.0
O213,Tech5,1,12.0
O222,Tech15,1,10.0
O227,Tech12,1,12.0
O229,Tech14,1,30.0
O231,Tech7,1,25.0
O246,Tech9,1,12.0
O247,Tech15,1,12.0
O249,Tech3,1,12.0
O252,Tech3,1,12.0
O26,Tech11,1,10.0
O262,Tech14,1,12.0
O271,Tech5,1,20.0
O273,Tech1,1,20.0
O274,Tech16,1,15.0
O292,Tech3,1,25.0
O299,Tech20,1,12.0
O309,Tech16,1,8.0
O310,Tech18,1,12.0
O313,Tech12,1,12.0
O315,Tech9,1,12.0
O321,Tech16,1,15.0
O323,Tech8,1,12.0
O328,Tech9,1,12.0
O33,Tech15,1,8.0
O333,Tech12,1,15.0
O334,Tech8,1,12.0
O336,Tech3,1,12.0
O338,Tech20,1,15.0
O349,Tech13,1,15.0
O355,Tech12,1,12.0
O36,Tech8,1,12.0
O361,Tech1,1,22.0
O365,Tech18,1,22.0
O370,Tech6,1,12.0
O371,Tech13,1,15.0
O375,Tech1,1,12.0
O38,Tech10,1,15.0
O382,Tech6,1,8.0
O385,Tech8,1,20.0
O387,Tech12,1,8.0
O392,Tech13,1,12.0
O393,Tech10,1,8.0
O402,Tech15,1,20.0
O408,Tech7,1,8.0
O411,Tech14,1,8.0
O412,Tech16,1,22.0
O418,Tech3,1,20.0
O423,Tech12,1,15.0
O430,Tech5,1,12.0
O431,Tech2,1,20.0
O437,Tech11,1,12.0
O444,Tech9,1,15.0
O445,Tech7,1,30.0
O469,Tech11,1,15.0
O483,Tech19,1,8.0
O493,Tech10,1,30.0
O495,Tech17,1,8.0
O496,Tech20,1,15.0
O511,Tech14,1,20.0
O527,Tech2,1,12.0
O529,Tech16,1,15.0
O530,Tech9,1,15.0
O540,Tech2,1,15.0
O543,Tech15,1,15.0
O554,Tech13,1,22.0
O556,Tech9,1,12.0
O560,Tech19,1,90.0
O57,Tech9,1,12.0
O62,Tech14,1,15.0
O63,Tech17,1,12.0
O7,Tech12,1,20.0
O70,Tech1,1,30.0
O75,Tech5,1,30.0
O76,Tech5,1,8.0
O77,Tech16,1,10.0
O78,Tech8,1,11.0
O79,Tech6,1,8.0
O80,Tech15,1,8.0
O81,Tech7,1,8.0
O82,Tech4,1,8.0
O91,Tech18,1,25.0
O93,Tech5,1,15.0
O99,Tech13,1,12.0
